NAME : egl-e1-A
VERTICES : 77
DEPOT : 1
REQUIRED EDGES : 51
NON-REQUIRED EDGES : 47
VEHICLES : 5
CAPACITY : 305
TOTAL COST OF REQUIRED EDGES : 1468
NODES       COST         DEMAND
1   2   32       32
2   3   14       14
2   4   17       17
4   5   56       56
9   10   20       20
11   12   32       32
12   16   29       29
13   16   13       13
13   14   7       7
15   17   26       26
15   18   38       38
18   19   41       41
19   20   32       32
19   21   38       38
21   22   17       17
22   75   24       24
23   31   40       40
31   32   58       58
32   33   30       30
32   34   43       43
32   35   86       86
35   41   15       15
43   44   78       78
44   45   12       12
44   46   13       13
46   47   33       33
47   48   10       10
47   49   9       9
49   50   8       8
49   51   10       10
50   52   2       2
52   54   4       4
55   56   6       6
42   57   14       14
57   58   78       78
58   59   25       25
11   59   78       78
58   60   33       33
60   61   39       39
60   62   23       23
62   63   30       30
63   65   21       21
62   66   16       16
66   68   45       45
58   69   32       32
59   69   11       11
4   69   75       75
23   75   17       17
20   76   8       8
21   51   2       2
44   59   28       28
5   6   8       0
5   7   6       0
7   8   18       0
8   9   26       0
10   11   12       0
14   15   7       0
13   77   12       0
18   20   21       0
22   24   4       0
24   25   27       0
25   75   16       0
25   26   17       0
23   26   12       0
26   27   15       0
26   28   18       0
28   29   16       0
25   29   27       0
30   31   14       0
33   36   27       0
33   37   75       0
37   38   8       0
37   39   21       0
39   40   5       0
35   39   7       0
40   41   9       0
41   42   18       0
42   43   11       0
45   46   12       0
11   48   79       0
51   53   4       0
52   53   4       0
24   53   24       0
19   50   30       0
42   56   26       0
63   64   9       0
70   71   56       0
71   72   6       0
71   73   5       0
72   73   5       0
73   74   25       0
18   72   92       0
56   67   36       0
12   76   7       0
15   77   13       0
76   77   35       0
60   67   29       0
62   67   31       0
END
