NAME : egl-e4-B
VERTICES : 77
DEPOT : 1
REQUIRED EDGES : 98
NON-REQUIRED EDGES : 0
VEHICLES : 14
CAPACITY : 180
TOTAL COST OF REQUIRED EDGES : 2453
NODES       COST         DEMAND
1   2   32       32
2   3   14       14
2   4   17       17
4   5   56       56
5   6   8       8
5   7   6       6
7   8   18       18
8   9   26       26
9   10   20       20
10   11   12       12
11   12   32       32
12   16   29       29
13   16   13       13
13   14   7       7
14   15   7       7
13   77   12       12
15   17   26       26
15   18   38       38
18   19   41       41
19   20   32       32
18   20   21       21
19   21   38       38
21   22   17       17
22   75   24       24
22   24   4       4
24   25   27       27
25   75   16       16
25   26   17       17
23   26   12       12
26   27   15       15
26   28   18       18
28   29   16       16
25   29   27       27
30   31   14       14
23   31   40       40
31   32   58       58
32   33   30       30
32   34   43       43
32   35   86       86
33   36   27       27
33   37   75       75
37   38   8       8
37   39   21       21
39   40   5       5
35   39   7       7
35   41   15       15
40   41   9       9
41   42   18       18
42   43   11       11
43   44   78       78
44   45   12       12
45   46   12       12
44   46   13       13
46   47   33       33
47   48   10       10
11   48   79       79
47   49   9       9
49   50   8       8
49   51   10       10
50   52   2       2
51   53   4       4
52   53   4       4
52   54   4       4
24   53   24       24
19   50   30       30
55   56   6       6
42   56   26       26
42   57   14       14
57   58   78       78
58   59   25       25
11   59   78       78
58   60   33       33
60   61   39       39
60   62   23       23
62   63   30       30
63   64   9       9
63   65   21       21
62   66   16       16
66   68   45       45
58   69   32       32
59   69   11       11
4   69   75       75
70   71   56       56
71   72   6       6
71   73   5       5
72   73   5       5
73   74   25       25
18   72   92       92
56   67   36       36
23   75   17       17
12   76   7       7
20   76   8       8
15   77   13       13
76   77   35       35
21   51   2       2
44   59   28       28
60   67   29       29
62   67   31       31
END
