NAME : egl-s1-A
VERTICES : 140
DEPOT : 1
REQUIRED EDGES : 75
NON-REQUIRED EDGES : 115
VEHICLES : 7
CAPACITY : 210
TOTAL COST OF REQUIRED EDGES : 1394
NODES       COST         DEMAND
5   6   26       26
6   8   10       10
8   9   37       37
8   11   48       48
11   12   25       25
12   13   12       12
13   14   18       18
20   22   10       10
20   24   33       33
24   25   10       10
25   27   19       19
27   28   6       6
28   29   5       5
28   30   5       5
30   32   28       28
11   33   24       24
34   139   49       49
36   37   20       20
36   38   25       25
38   39   6       6
39   40   18       18
37   43   16       16
43   44   31       31
44   45   14       14
34   45   4       4
43   46   5       5
33   139   13       13
48   49   10       10
49   140   24       24
54   55   10       10
55   56   4       4
62   63   7       7
63   64   9       9
64   65   15       15
62   66   37       37
66   67   33       33
67   68   9       9
67   69   4       4
69   71   6       6
71   72   9       9
72   73   18       18
44   73   36       36
46   77   16       16
77   78   15       15
78   79   12       12
79   80   12       12
80   82   16       16
82   84   13       13
84   85   10       10
85   86   20       20
86   87   4       4
95   96   8       8
96   97   17       17
97   98   3       3
102   104   21       21
104   105   6       6
105   106   15       15
106   107   28       28
107   108   25       25
108   109   103       103
107   110   8       8
110   111   7       7
110   112   13       13
107   112   13       13
112   113   4       4
113   114   12       12
1   116   18       18
116   117   19       19
2   117   16       16
117   119   24       24
114   118   58       58
124   126   11       11
126   130   35       35
55   140   14       14
11   27   50       50
6   7   21       0
9   10   12       0
10   15   13       0
15   16   8       0
15   17   13       0
13   17   6       0
13   16   12       0
17   18   8       0
18   19   6       0
10   19   28       0
12   20   34       0
20   21   58       0
21   23   55       0
23   24   56       0
25   26   48       0
23   26   20       0
30   31   41       0
26   31   12       0
29   33   52       0
34   35   59       0
35   36   4       0
35   37   17       0
40   41   12       0
38   41   10       0
41   47   99       0
37   42   17       0
42   43   5       0
42   47   4       0
46   47   7       0
48   139   49       0
48   50   8       0
50   51   30       0
51   52   12       0
52   53   12       0
53   140   24       0
56   57   49       0
57   58   20       0
58   59   40       0
59   60   18       0
45   60   15       0
60   61   35       0
59   61   31       0
49   61   13       0
57   62   14       0
56   65   30       0
69   70   8       0
70   71   9       0
72   74   15       0
73   74   5       0
71   75   36       0
75   76   47       0
74   76   27       0
76   77   10       0
79   81   9       0
80   81   10       0
82   83   10       0
81   83   17       0
83   84   18       0
86   88   33       0
88   89   14       0
88   90   12       0
90   91   7       0
68   90   67       0
66   91   69       0
89   92   10       0
82   92   26       0
84   92   29       0
64   93   28       0
63   93   25       0
93   94   17       0
94   95   49       0
96   99   10       0
97   99   37       0
99   100   33       0
94   100   17       0
94   101   4       0
66   101   28       0
101   102   17       0
102   103   42       0
91   103   27       0
106   108   38       0
103   113   46       0
114   115   36       0
115   116   10       0
115   117   20       0
117   118   49       0
119   120   14       0
91   118   35       0
118   121   17       0
120   121   16       0
121   122   8       0
87   122   15       0
122   123   15       0
123   124   29       0
120   123   32       0
123   125   32       0
4   124   67       0
126   127   15       0
127   128   22       0
3   128   41       0
128   129   23       0
127   129   11       0
126   131   26       0
131   132   5       0
132   133   7       0
133   134   10       0
133   135   19       0
134   135   14       0
134   136   31       0
136   137   29       0
136   138   5       0
131   138   47       0
125   138   20       0
54   140   18       0
58   70   11       0
END
