NAME : egl-s3-C
VERTICES : 140
DEPOT : 1
REQUIRED EDGES : 159
NON-REQUIRED EDGES : 31
VEHICLES : 29
CAPACITY : 120
TOTAL COST OF REQUIRED EDGES : 3379
NODES       COST         DEMAND
5   6   26       26
6   8   10       10
8   9   37       37
8   11   48       48
11   12   25       25
12   13   12       12
13   14   18       18
10   15   13       13
15   16   8       8
15   17   13       13
13   17   6       6
13   16   12       12
17   18   8       8
10   19   28       28
12   20   34       34
20   21   58       58
20   22   10       10
20   24   33       33
23   24   56       56
24   25   10       10
25   26   48       48
25   27   19       19
27   28   6       6
28   29   5       5
28   30   5       5
30   31   41       41
30   32   28       28
29   33   52       52
11   33   24       24
34   139   49       49
34   35   59       59
35   36   4       4
35   37   17       17
36   37   20       20
36   38   25       25
38   39   6       6
39   40   18       18
40   41   12       12
38   41   10       10
41   47   99       99
37   42   17       17
42   43   5       5
37   43   16       16
43   44   31       31
44   45   14       14
34   45   4       4
42   47   4       4
46   47   7       7
43   46   5       5
33   139   13       13
48   49   10       10
48   50   8       8
50   51   30       30
51   52   12       12
52   53   12       12
53   140   24       24
49   140   24       24
54   55   10       10
55   56   4       4
56   57   49       49
57   58   20       20
58   59   40       40
59   60   18       18
45   60   15       15
60   61   35       35
59   61   31       31
49   61   13       13
57   62   14       14
62   63   7       7
63   64   9       9
64   65   15       15
62   66   37       37
66   67   33       33
67   68   9       9
67   69   4       4
69   70   8       8
70   71   9       9
69   71   6       6
71   72   9       9
72   73   18       18
72   74   15       15
73   74   5       5
44   73   36       36
71   75   36       36
75   76   47       47
74   76   27       27
76   77   10       10
46   77   16       16
77   78   15       15
78   79   12       12
79   80   12       12
79   81   9       9
80   81   10       10
80   82   16       16
82   83   10       10
81   83   17       17
82   84   13       13
83   84   18       18
84   85   10       10
85   86   20       20
86   87   4       4
89   92   10       10
82   92   26       26
84   92   29       29
64   93   28       28
63   93   25       25
95   96   8       8
96   97   17       17
97   98   3       3
96   99   10       10
97   99   37       37
99   100   33       33
102   104   21       21
104   105   6       6
105   106   15       15
106   107   28       28
107   108   25       25
106   108   38       38
108   109   103       103
107   110   8       8
110   111   7       7
110   112   13       13
107   112   13       13
112   113   4       4
103   113   46       46
113   114   12       12
114   115   36       36
115   116   10       10
1   116   18       18
116   117   19       19
115   117   20       20
2   117   16       16
117   118   49       49
117   119   24       24
119   120   14       14
114   118   58       58
4   124   67       67
124   126   11       11
126   127   15       15
127   128   22       22
3   128   41       41
128   129   23       23
127   129   11       11
126   130   35       35
126   131   26       26
131   132   5       5
132   133   7       7
133   134   10       10
133   135   19       19
134   135   14       14
134   136   31       31
136   137   29       29
136   138   5       5
131   138   47       47
125   138   20       20
55   140   14       14
54   140   18       18
11   27   50       50
58   70   11       11
6   7   21       0
9   10   12       0
18   19   6       0
21   23   55       0
23   26   20       0
26   31   12       0
48   139   49       0
56   65   30       0
86   88   33       0
88   89   14       0
88   90   12       0
90   91   7       0
68   90   67       0
66   91   69       0
93   94   17       0
94   95   49       0
94   100   17       0
94   101   4       0
66   101   28       0
101   102   17       0
102   103   42       0
91   103   27       0
91   118   35       0
118   121   17       0
120   121   16       0
121   122   8       0
87   122   15       0
122   123   15       0
123   124   29       0
120   123   32       0
123   125   32       0
END
