size: 40 	avg_cost: 499.9117647058824 
size: 45 	avg_cost: 501.24264705882354 
size: 50 	avg_cost: 502.525 
size: 55 	avg_cost: 502.8029411764706 
size: 60 	avg_cost: 502.8720588235294 
size: 65 	avg_cost: 504.3926470588235 
size: 70 	avg_cost: 504.8558823529412 
size: 75 	avg_cost: 505.58529411764704 
size: 80 	avg_cost: 505.24264705882354 
size: 85 	avg_cost: 505.90294117647056 
size: 90 	avg_cost: 506.2176470588235 
size: 95 	avg_cost: 506.3073529411765 
size: 100 	avg_cost: 506.86323529411766 
size: 105 	avg_cost: 507.6411764705882 
size: 110 	avg_cost: 507.05882352941177 
size: 115 	avg_cost: 507.29117647058825 
size: 120 	avg_cost: 507.47205882352944 
size: 125 	avg_cost: 507.5882352941176 
size: 130 	avg_cost: 507.8220588235294 
size: 135 	avg_cost: 507.78823529411767 
size: 140 	avg_cost: 508.1602941176471 
size: 145 	avg_cost: 507.8426470588235 
size: 150 	avg_cost: 507.77794117647056 
size: 155 	avg_cost: 507.96176470588233 
size: 160 	avg_cost: 508.53970588235296 
size: 165 	avg_cost: 507.6426470588235 
size: 170 	avg_cost: 508.06470588235294 
