size: 40 	avg_cost: 13358.172916666666 
size: 45 	avg_cost: 13362.877083333333 
size: 50 	avg_cost: 13361.81875 
size: 55 	avg_cost: 13371.364583333334 
size: 60 	avg_cost: 13374.595833333333 
size: 65 	avg_cost: 13384.629166666668 
size: 70 	avg_cost: 13380.525 
size: 75 	avg_cost: 13375.329166666666 
size: 80 	avg_cost: 13374.458333333334 
size: 85 	avg_cost: 13389.883333333333 
size: 90 	avg_cost: 13380.375 
size: 95 	avg_cost: 13386.104166666666 
size: 100 	avg_cost: 13381.935416666667 
size: 105 	avg_cost: 13395.191666666668 
size: 110 	avg_cost: 13381.139583333334 
size: 115 	avg_cost: 13384.439583333333 
size: 120 	avg_cost: 13378.372916666667 
size: 125 	avg_cost: 13391.954166666666 
size: 130 	avg_cost: 13389.81875 
size: 135 	avg_cost: 13390.589583333332 
size: 140 	avg_cost: 13392.427083333334 
size: 145 	avg_cost: 13393.789583333333 
size: 150 	avg_cost: 13391.277083333332 
size: 155 	avg_cost: 13392.541666666666 
size: 160 	avg_cost: 13392.291666666666 
size: 165 	avg_cost: 13389.995833333332 
size: 170 	avg_cost: 13391.441666666668 
