size: 40 	avg_cost: 293.9760869565217 
size: 45 	avg_cost: 297.0086956521739 
size: 50 	avg_cost: 300.0108695652174 
size: 55 	avg_cost: 301.4478260869565 
size: 60 	avg_cost: 303.59565217391304 
size: 65 	avg_cost: 305.1717391304348 
size: 70 	avg_cost: 306.2 
size: 75 	avg_cost: 308.7826086956522 
size: 80 	avg_cost: 310.8021739130435 
size: 85 	avg_cost: 310.94565217391306 
size: 90 	avg_cost: 312.39130434782606 
size: 95 	avg_cost: 313.3 
size: 100 	avg_cost: 314.9478260869565 
size: 105 	avg_cost: 316.3282608695652 
size: 110 	avg_cost: 317.02608695652174 
size: 115 	avg_cost: 317.74782608695654 
size: 120 	avg_cost: 317.6891304347826 
size: 125 	avg_cost: 319.2130434782609 
size: 130 	avg_cost: 320.3652173913043 
size: 135 	avg_cost: 319.7130434782609 
size: 140 	avg_cost: 320.89130434782606 
size: 145 	avg_cost: 321.50217391304346 
size: 150 	avg_cost: 321.9260869565217 
size: 155 	avg_cost: 322.5521739130435 
size: 160 	avg_cost: 322.71521739130435 
size: 165 	avg_cost: 323.18695652173915 
size: 170 	avg_cost: 324.6 
